periodo;plazo_desde;plazo_hasta;cf
20130325;13;24;0.5100
20130325;25;36;0.5300
20130325;37;48;0.5400
20130325;49;60;0.5400
20130325;61;72;0.5500
20130325;73;84;0.5500
20130325;85;96;0.5600
20130325;109;120;0.5600
20130325;133;144;0.5600
20130325;169;180;0.5700
20130326;1;12;0.5000
20130326;13;24;0.5200
20130326;25;36;0.5400
20130326;37;48;0.5500
20130326;49;60;0.5500
20130326;61;72;0.5600
20130326;73;84;0.5600
20130326;85;96;0.5700
20130326;109;120;0.5700
20130326;133;144;0.5700
20130326;169;180;0.5800
20130327;1;12;0.5000
20130327;13;24;0.5200
20130327;25;36;0.5400
20130327;37;48;0.5500
20130327;49;60;0.5500
20130327;61;72;0.5600
20130327;73;84;0.5600
20130327;85;96;0.5700
20130327;109;120;0.5700
20130327;133;144;0.5700
20130327;169;180;0.5800
20130328;1;12;0.5000
20130328;13;24;0.5200
20130328;25;36;0.5400
20130328;37;48;0.5500
20130328;49;60;0.5500
20130328;61;72;0.5600
20130328;73;84;0.5600
20130328;85;96;0.5700
20130328;109;120;0.5700
20130328;133;144;0.5700
20130328;169;180;0.5800
20130401;1;12;0.5000
20130401;13;24;0.5100
20130401;25;36;0.5300
20130401;37;48;0.5400
20130401;49;60;0.5400
20130401;61;72;0.5500
20130401;73;84;0.5500
20130401;85;96;0.5600
20130401;109;120;0.5600
20130401;133;144;0.5600
20130401;169;180;0.5700
20130402;1;12;0.5000
20130402;13;24;0.5100
20130402;25;36;0.5300
20130402;37;48;0.5400
20130402;49;60;0.5400
20130402;61;72;0.5500
20130402;73;84;0.5500
20130402;85;96;0.5600
20130402;109;120;0.5600
20130402;133;144;0.5600
20130402;169;180;0.5700
20130403;1;12;0.5000
20130403;13;24;0.5100
20130403;25;36;0.5300
20130403;37;48;0.5400
20130403;49;60;0.5400
20130403;61;72;0.5500
20130403;73;84;0.5500
20130403;85;96;0.5600
20130403;109;120;0.5600
20130403;133;144;0.5600
20130403;169;180;0.5700
20130404;1;12;0.5000
20130404;13;24;0.5100
20130404;25;36;0.5300
20130404;37;48;0.5400
20130404;49;60;0.5400
20130404;61;72;0.5500
20130404;73;84;0.5500
20130404;85;96;0.5600
20130404;109;120;0.5600
20130404;133;144;0.5600
20130404;169;180;0.5700
20130405;1;12;0.5000
20130405;13;24;0.5100
20130405;25;36;0.5300
20130405;37;48;0.5400
20130405;49;60;0.5400
20130405;61;72;0.5500
20130405;73;84;0.5500
20130405;85;96;0.5600
20130405;109;120;0.5600
20130405;133;144;0.5600
20130405;169;180;0.5700
20130408;1;12;0.5000
20130408;13;24;0.5100
20130408;25;36;0.5300
20130408;37;48;0.5400
20130408;49;60;0.5400
20130408;61;72;0.5500
20130408;73;84;0.5500
20130408;85;96;0.5600
20130408;109;120;0.5600
20130408;133;144;0.5600
20130408;169;180;0.5700
20130409;1;12;0.5000
20130409;13;24;0.5100
20130409;25;36;0.5300
20130409;37;48;0.5400
20130409;49;60;0.5400
20130409;61;72;0.5500
20130409;73;84;0.5500
20130409;85;96;0.5600
20130409;109;120;0.5600
20130409;133;144;0.5600
20130409;169;180;0.5700
20130410;1;12;0.4900
20130410;13;24;0.5100
20130410;25;36;0.5200
20130410;37;48;0.5300
20130410;49;60;0.5400
20130410;61;72;0.5500
20130410;73;84;0.5500
20130410;85;96;0.5600
20130410;109;120;0.5600
20130410;133;144;0.5600
20130410;169;180;0.5700
20130411;1;12;0.4900
20130411;13;24;0.5100
20130411;25;36;0.5200
20130411;37;48;0.5300
20130411;49;60;0.5400
20130411;61;72;0.5500
20130411;73;84;0.5500
20130411;85;96;0.5600
20130411;109;120;0.5600
20130411;133;144;0.5600
20130411;169;180;0.5700
20130412;1;12;0.4900
20130412;13;24;0.5100
20130412;25;36;0.5200
20130412;37;48;0.5300
20130412;49;60;0.5400
20130412;61;72;0.5500
20130412;73;84;0.5500
20130412;85;96;0.5600
20130412;109;120;0.5600
20130412;133;144;0.5600
20130412;169;180;0.5700
20130415;1;12;0.4900
20130415;13;24;0.5100
20130415;25;36;0.5200
20130415;37;48;0.5300
20130415;49;60;0.5400
20130415;61;72;0.5500
20130415;73;84;0.5500
20130415;85;96;0.5600
20130415;109;120;0.5600
20130415;133;144;0.5600
20130415;169;180;0.5700
20130416;1;12;0.4800
20130416;13;24;0.5100
20130416;25;36;0.5200
20130416;37;48;0.5300
20130416;49;60;0.5400
20130416;61;72;0.5500
20130416;73;84;0.5500
20130416;85;96;0.5600
20130416;109;120;0.5600
20130416;133;144;0.5600
20130416;169;180;0.5700
20130417;1;12;0.4700
20130417;13;24;0.5000
20130417;25;36;0.5100
20130417;37;48;0.5200
20130417;49;60;0.5300
20130417;61;72;0.5400
20130417;73;84;0.5400
20130417;85;96;0.5500
20130417;109;120;0.5500
20130417;133;144;0.5500
20130417;169;180;0.5600
20130418;1;12;0.4700
20130418;13;24;0.5000
20130418;25;36;0.5100
20130418;37;48;0.5200
20130418;49;60;0.5300
20130418;61;72;0.5400
20130418;73;84;0.5400
20130418;85;96;0.5500
20130418;109;120;0.5500
20130418;133;144;0.5500
20130418;169;180;0.5600
20130419;1;12;0.4700
20130419;13;24;0.5000
20130419;25;36;0.5100
20130419;37;48;0.5200
20130419;49;60;0.5300
20130419;61;72;0.5400
20130419;73;84;0.5400
20130419;85;96;0.5500
20130419;109;120;0.5500
20130419;133;144;0.5500
20130419;169;180;0.5600
20130422;1;12;0.4700
20130422;13;24;0.4900
20130422;25;36;0.5100
20130422;37;48;0.5200
20130422;49;60;0.5300
20130422;61;72;0.5400
20130422;73;84;0.5400
20130422;85;96;0.5500
20130422;109;120;0.5500
20130422;133;144;0.5500
20130422;169;180;0.5600
20130423;1;12;0.4700
20130423;13;24;0.4900
20130423;25;36;0.5100
20130423;37;48;0.5200
20130423;49;60;0.5300
20130423;61;72;0.5400
20130423;73;84;0.5400
20130423;85;96;0.5500
20130423;109;120;0.5500
20130423;133;144;0.5500
20130423;169;180;0.5600
20130424;1;12;0.4700
20130424;13;24;0.4900
20130424;25;36;0.5100
20130424;37;48;0.5200
20130424;49;60;0.5300
20130424;61;72;0.5400
20130424;73;84;0.5400
20130424;85;96;0.5500
20130424;109;120;0.5500
20130424;133;144;0.5500
20130424;169;180;0.5600
20130425;1;12;0.4700
20130425;13;24;0.4900
20130425;25;36;0.5100
20130425;37;48;0.5200
20130425;49;60;0.5300
20130425;61;72;0.5400
20130425;73;84;0.5400
20130425;85;96;0.5500
20130425;109;120;0.5500
20130425;133;144;0.5500
20130425;169;180;0.5600
20130426;1;12;0.4700
20130426;13;24;0.4900
20130426;25;36;0.5100
20130426;37;48;0.5200
20130426;49;60;0.5300
20130426;61;72;0.5400
20130426;73;84;0.5400
20130426;85;96;0.5500
20130426;109;120;0.5500
20130426;133;144;0.5500
20130426;169;180;0.5600
20130429;1;12;0.4700
20130429;13;24;0.4900
20130429;25;36;0.5100
20130429;37;48;0.5200
20130429;49;60;0.5200
20130429;61;72;0.5300
20130429;73;84;0.5400
20130429;85;96;0.5400
20130429;109;120;0.5400
20130429;133;144;0.5500
20130429;169;180;0.5600
20130430;1;12;0.4700
20130430;13;24;0.4900
20130430;25;36;0.5100
20130430;37;48;0.5200
20130430;49;60;0.5200
20130430;61;72;0.5300
20130430;73;84;0.5400
20130430;85;96;0.5400
20130430;109;120;0.5400
20130430;133;144;0.5500
20130430;169;180;0.5600
20130502;1;12;0.4700
20130502;13;24;0.4900
20130502;25;36;0.5100
20130502;37;48;0.5200
20130502;49;60;0.5200
20130502;61;72;0.5300
20130502;73;84;0.5400
20130502;85;96;0.5400
20130502;109;120;0.5400
20130502;133;144;0.5500
20130502;169;180;0.5600
20130503;1;12;0.4700
20130503;13;24;0.4900
20130503;25;36;0.5100
20130503;37;48;0.5200
20130503;49;60;0.5200
20130503;61;72;0.5300
20130503;73;84;0.5400
20130503;85;96;0.5400
20130503;109;120;0.5400
20130503;133;144;0.5500
20130503;169;180;0.5600
20130506;1;12;0.4700
20130506;13;24;0.4900
20130506;25;36;0.5100
20130506;37;48;0.5200
20130506;49;60;0.5200
20130506;61;72;0.5300
20130506;73;84;0.5400
20130506;85;96;0.5400
20130506;109;120;0.5400
20130506;133;144;0.5500
20130506;169;180;0.5600
20130507;1;12;0.4700
20130507;13;24;0.4900
20130507;25;36;0.5100
20130507;37;48;0.5200
20130507;49;60;0.5200
20130507;61;72;0.5300
20130507;73;84;0.5400
20130507;85;96;0.5400
20130507;109;120;0.5400
20130507;133;144;0.5500
20130507;169;180;0.5600
20130508;1;12;0.4700
20130508;13;24;0.4900
20130508;25;36;0.5100
20130508;37;48;0.5200
20130508;49;60;0.5200
20130508;61;72;0.5300
20130508;73;84;0.5400
20130508;85;96;0.5400
20130508;109;120;0.5400
20130508;133;144;0.5500
20130508;169;180;0.5600
20130509;1;12;0.4700
20130509;13;24;0.4900
20130509;25;36;0.5100
20130509;37;48;0.5200
20130509;49;60;0.5200
20130509;61;72;0.5300
20130509;73;84;0.5400
20130509;85;96;0.5400
20130509;109;120;0.5400
20130509;133;144;0.5500
20130509;169;180;0.5600
20130510;1;12;0.4700
20130510;13;24;0.4900
20130510;25;36;0.5100
20130510;37;48;0.5200
20130510;49;60;0.5200
20130510;61;72;0.5300
20130510;73;84;0.5400
20130510;85;96;0.5400
20130510;109;120;0.5400
20130510;133;144;0.5500
20130510;169;180;0.5600
20130513;1;12;0.4700
20130513;13;24;0.4900
20130513;25;36;0.5000
20130513;37;48;0.5100
20130513;49;60;0.5200
20130513;61;72;0.5200
20130513;73;84;0.5300
20130513;85;96;0.5300
20130513;109;120;0.5400
20130513;133;144;0.5500
20130513;169;180;0.5600
20130514;1;12;0.4700
20130514;13;24;0.4900
20130514;25;36;0.5000
20130514;37;48;0.5100
20130514;49;60;0.5200
20130514;61;72;0.5200
20130514;73;84;0.5300
20130514;85;96;0.5300
20130514;109;120;0.5400
20130514;133;144;0.5500
20130514;169;180;0.5600
20130515;1;12;0.4700
20130515;13;24;0.4900
20130515;25;36;0.5000
20130515;37;48;0.5100
20130515;49;60;0.5200
20130515;61;72;0.5200
20130515;73;84;0.5300
20130515;85;96;0.5300
20130515;109;120;0.5400
20130515;133;144;0.5500
20130515;169;180;0.5600
20130516;1;12;0.4600
20130516;13;24;0.4800
20130516;25;36;0.5000
20130516;37;48;0.5100
20130516;49;60;0.5200
20130516;61;72;0.5200
20130516;73;84;0.5300
20130516;85;96;0.5300
20130516;109;120;0.5400
20130516;133;144;0.5500
20130516;169;180;0.5600
20130517;1;12;0.4600
20130517;13;24;0.4800
20130517;25;36;0.5000
20130517;37;48;0.5100
20130517;49;60;0.5200
20130517;61;72;0.5200
20130517;73;84;0.5300
20130517;85;96;0.5300
20130517;109;120;0.5400
20130517;133;144;0.5500
20130517;169;180;0.5600
20130520;1;12;0.4600
20130520;13;24;0.4800
20130520;25;36;0.5000
20130520;37;48;0.5100
20130520;49;60;0.5200
20130520;61;72;0.5200
20130520;73;84;0.5300
20130520;85;96;0.5300
20130520;109;120;0.5400
20130520;133;144;0.5500
20130520;169;180;0.5600
20130522;1;12;0.4600
